id,question,gold_answer,generated_answer,expected_source,retrieved_sources,retrieved_snippets,citation_match_auto,exact_match_score,partial_match_score,latency_seconds,groundedness_manual_score,citation_accuracy_manual_score
1,Who is responsible for overseeing data protection matters?,The Data Protection Officer is responsible for overseeing data protection matters and monitoring compliance.,"Answer:
Department heads and managers are responsible for overseeing data protection matters within their departments.

Citations:
- Data Protection Policy - data_protection_policy.md

Relevant Snippets:
- Department heads and managers are responsible for ensuring that their teams comply with the data protection policy. Their specific responsibilities include:
  • Compliance Monitoring: Monitoring data protection practices within their departments to ensure that personal data is handled in compliance with company policy and legal requirements.
  • Employee Awareness: Ensuring that team members are trained on and aware of their data protection responsibilities.
  • Incident Reporting: Reporting any suspected or actual data breaches to the DPO in a timely manner.
  • Data Minimization: Ensuring that only the necessary personal data is collected and processed within their departments, and that data is securely stored and disposed of when no longer needed.",data_protection_policy.md,"['data_protection_policy.md', 'data_protection_policy.md', 'data_protection_policy.md', 'data_protection_policy.md']","['1.5.6\tDepartment Heads and Managers\nDepartment heads and managers are responsible for ensuring that their teams comply with the data protection policy. Their specific responsibilities include:\n•\tCompliance Monitoring: Monitoring data protection practices within their departments to ensure that perso', '1.5.6\tDepartment Heads and Managers\nDepartment heads and managers are responsible for ensuring that their teams comply with the data protection policy. Their specific responsibilities include:\n•\tCompliance Monitoring: Monitoring data protection practices within their departments to ensure that perso', '1.5.6\tDepartment Heads and Managers\nDepartment heads and managers are responsible for ensuring that their teams comply with the data protection policy. Their specific responsibilities include:\n•\tCompliance Monitoring: Monitoring data protection practices within their departments to ensure that perso', '•\tAccess Controls: Ensuring that only authorized personnel have access to personal data, and that access rights are regularly reviewed and updated.\n•\tIncident Response: Supporting the DPO in responding to data breaches and security incidents by providing technical expertise.\n•\tSystem Monitoring: Mon']",True,0,1.0,15.453,,
2,What should an employee do if they suspect a personal data breach?,They should immediately report it to the DPO and preserve evidence relating to the possible breach.,"Answer:
If an employee suspects a personal data breach, they should not attempt to investigate the matter themselves. They should immediately contact the person or team designated as the key point of contact for Personal Data Breaches (the DPO) and follow the INFORMATION SECURITY INCIDENT RESPONSE PLAN. They should also preserve all evidence relating to the potential Personal Data Breach.

Citations:
- Data Protection Policy - data_protection_policy.md

Relevant Snippets:
- ""If you know or suspect that a Personal Data Breach has occurred, do not attempt to investigate the matter yourself. Immediately contact the person or team designated as the key point of contact for Personal Data Breaches (the DPO) and follow the INFORMATION SECURITY INCIDENT RESPONSE PLAN. You should preserve all evidence relating to the potential Personal Data Breach.""",data_breach_policy_and_procedures.md,"['data_protection_policy.md', 'data_protection_policy.md', 'data_protection_policy.md', 'data_protection_policy.md']","['We have put in place procedures to deal with any suspected Personal Data Breach and will notify Data Subjects or any applicable regulator where we are legally required to do so.\nIf you know or suspect that a Personal Data Breach has occurred, do not attempt to investigate the matter yourself. Immedi', 'We have put in place procedures to deal with any suspected Personal Data Breach and will notify Data Subjects or any applicable regulator where we are legally required to do so.\nIf you know or suspect that a Personal Data Breach has occurred, do not attempt to investigate the matter yourself. Immedi', 'We have put in place procedures to deal with any suspected Personal Data Breach and will notify Data Subjects or any applicable regulator where we are legally required to do so.\nIf you know or suspect that a Personal Data Breach has occurred, do not attempt to investigate the matter yourself. Immedi', '1.8.5\tReporting a Personal Data Breach\nAny actual or suspected breach involving personal data must be reported immediately. All employees have the responsibility to report data breaches, regardless of their role or the severity of the incident. Breaches include, but are not limited to, unauthorized ']",False,0,1.0,8.721,,
3,Within how long should a reportable breach be notified to the Data Commissioner?,A reportable personal data breach should be notified to the Data Commissioner within 72 hours of becoming aware of the breach.,"Answer:
Within seventy-two hours (72) of becoming aware of the breach.

Citations:
- Data Protection Policy - data_protection_policy.md

Relevant Snippets:
- The DPA requires Controllers to notify in writing, any Personal Data Breach (where there is real risk to the data subject) to the Data Commissioner within seventy-two hours (72) and, in certain instances, the Data Subject within a reasonable practical period.",data_breach_policy_and_procedures.md,"['data_protection_policy.md', 'data_protection_policy.md', 'data_protection_policy.md', 'data_protection_policy.md']","['1.8.5\tReporting a Personal Data Breach\nAny actual or suspected breach involving personal data must be reported immediately. All employees have the responsibility to report data breaches, regardless of their role or the severity of the incident. Breaches include, but are not limited to, unauthorized ', '1.8.5\tReporting a Personal Data Breach\nAny actual or suspected breach involving personal data must be reported immediately. All employees have the responsibility to report data breaches, regardless of their role or the severity of the incident. Breaches include, but are not limited to, unauthorized ', '1.8.5\tReporting a Personal Data Breach\nAny actual or suspected breach involving personal data must be reported immediately. All employees have the responsibility to report data breaches, regardless of their role or the severity of the incident. Breaches include, but are not limited to, unauthorized ', 'The right to object\tNot specified.  Where the request is declined, within fourteen days of the decision to decline.\nRights in relation to automated decision making and profiling.\tWithin reasonable time\nBreach notification \tWithin 72 hours of becoming aware of breach(notification to the Data Commissi']",False,0,1.0,9.34,,
4,What are examples of personal data collected by the airline?,"Examples include name, ID number, date of birth, phone number, postal address, location data, IP address, account details, photos, and biometrics.","Answer:
The airline collects personal data through various methods, including when you book a flight, sign up for the loyalty program, create an account on the website, subscribe to email newsletters, enter a competition, promotion, or survey, or give feedback or contact the airline.

Citations:
- Website Privacy Policy - website_privacy_policy.md

Relevant Snippets:
- We collect your personal data through various methods, including:
  a. Your interactions with us. You may give us your personal data by filling in online forms or by corresponding with us by post, phone, email or otherwise. This includes personal data you provide when you:
    i. book a flight;
    ii. sign up for our loyalty program; 
    iii. create an account on our website
    iv. subscribe to our email newsletters; 
    v. enter a competition, promotion or survey; or
    vi. give us feedback or contact us.",data_protection_policy.md,"['website_privacy_policy.md', 'website_privacy_policy.md', 'website_privacy_policy.md', 'data_protection_policy.md']","['How is your personal data collected?\nWe collect your personal data through various methods, including:\na.\tYour interactions with us. You may give us your personal data by filling in online forms or by corresponding with us by post, phone, email or otherwise. This includes personal data you provide w', 'How is your personal data collected?\nWe collect your personal data through various methods, including:\na.\tYour interactions with us. You may give us your personal data by filling in online forms or by corresponding with us by post, phone, email or otherwise. This includes personal data you provide w', 'How is your personal data collected?\nWe collect your personal data through various methods, including:\na.\tYour interactions with us. You may give us your personal data by filling in online forms or by corresponding with us by post, phone, email or otherwise. This includes personal data you provide w', 'Kenya Aviation Limited uses Privacy Notices, which are separate documents from our internal Data Protection Policy and are provided to all data subjects including job candidates, employees, contractors, sub-contractors, Kenya Aviation Limited’s website visitors, physical site visitors, customers, su']",True,0,0.0,8.94,,
5,What are the data protection principles?,"The principles include lawfulness, fairness, transparency, purpose limitation, data minimization, accuracy, storage limitation, security, transfer limitation, data subject rights, and accountability.","Answer:
The data protection principles are:
- Processed in a manner that ensures its security using appropriate technical and organisational measures to protect against unauthorised or unlawful Processing and against accidental loss, destruction or damage (Security, Integrity and Confidentiality);
- Not transferred to another country without appropriate safeguards being in place (Transfer Limitation);
- Made available to Data Subjects and allow Data Subjects to exercise certain rights in relation to their Personal Data (Data Subject's Rights and Requests).

Citations:
- Data Protection Policy - data_protection_policy.md

Relevant Snippets:
- (g) Processed in a manner that ensures its security using appropriate technical and organisational measures to protect against unauthorised or unlawful Processing and against accidental loss, destruction or damage (Security, Integrity and Confidentiality);
- (h) Not transferred to another country without appropriate safeguards being in place (Transfer Limitation); and
- (i) Made available to Data Subjects and allow Data Subjects to exercise certain rights in relation to their Personal Data (Data Subject's Rights and Requests).",data_protection_policy.md,"['data_protection_policy.md', 'data_protection_policy.md', 'data_protection_policy.md', 'data_protection_policy.md']","['(g)\tProcessed in a manner that ensures its security using appropriate technical and organisational measures to protect against unauthorised or unlawful Processing and against accidental loss, destruction or damage (Security, Integrity and Confidentiality);\n(h)\tnot transferred to another country with', '(g)\tProcessed in a manner that ensures its security using appropriate technical and organisational measures to protect against unauthorised or unlawful Processing and against accidental loss, destruction or damage (Security, Integrity and Confidentiality);\n(h)\tnot transferred to another country with', '(g)\tProcessed in a manner that ensures its security using appropriate technical and organisational measures to protect against unauthorised or unlawful Processing and against accidental loss, destruction or damage (Security, Integrity and Confidentiality);\n(h)\tnot transferred to another country with', '1.8.1\tProactive and Preventive Approach to Data Protection and Privacy \nOur employees shall proactively establish methods to recognise poor data protection designs, to anticipate poor data protection practices and outcomes, and to correct their negative impacts. We also undertake to only use data pr']",True,0,0.5,9.84,,
6,What is the timeline for responding to a data subject access request?,A right of access request should be answered within 7 days of receiving a verifiable request.,"Answer:
The timeline for responding to a data subject access request is not more than seven days. If it's not possible to respond within this timeframe, a suitable explanation with an estimate of the timelines should be issued.

Citations:
- Data Protection Policy - data_protection_policy.md

Relevant Snippets:
- ""The right of access	On request but not more than seven days; if not possible a suitable explanation with estimate timelines to be issued""",data_subject_rights_policy.md,"['data_protection_policy.md', 'data_protection_policy.md', 'data_protection_policy.md', 'customer_privacy_policy.md']","['DATA SUBJECT REQUEST\tTimelines \nThe right to be informed\tWhen data is collected (if supplied by data subject) not specified (if not supplied by data subject)\nThe right of access\tOn request but not more than seven days; if not possible a suitable explanation with estimate timelines to be issued  \nThe', 'DATA SUBJECT REQUEST\tTimelines \nThe right to be informed\tWhen data is collected (if supplied by data subject) not specified (if not supplied by data subject)\nThe right of access\tOn request but not more than seven days; if not possible a suitable explanation with estimate timelines to be issued  \nThe', 'DATA SUBJECT REQUEST\tTimelines \nThe right to be informed\tWhen data is collected (if supplied by data subject) not specified (if not supplied by data subject)\nThe right of access\tOn request but not more than seven days; if not possible a suitable explanation with estimate timelines to be issued  \nThe', 'Time limit to respond\nWe try to respond to all legitimate requests within the statutory timelines outlined in the data protection laws. Occasionally it could take us longer if your request is particularly complex or you have made several requests. In this case, we will notify you and keep you update']",False,0,0.5,9.298,,
7,What is the timeline for responding to a request for erasure?,A request for erasure should be answered within 14 days of receiving a verifiable request.,"Answer:
The timeline for responding to a request for erasure is within 14 days of receiving a verifiable request.

Citations:
- Data Subject Rights Policy - data_subject_rights_policy.md

Relevant Snippets:
- Right to Erasure (Right to be Forgotten) Data subjects can request the deletion of personal data under certain conditions. Within 14 days of receiving a verifiable request. - [Source 1]
- Right to Erasure (Right to be Forgotten) Data subjects can request the deletion of personal data under certain conditions. Within 14 days of receiving a verifiable request. - [Source 2]
- Right to Erasure (Right to be Forgotten) Data subjects can request the deletion of personal data under certain conditions. Within 14 days of receiving a verifiable request. - [Source 3]",data_subject_rights_policy.md,"['data_subject_rights_policy.md', 'data_subject_rights_policy.md', 'data_subject_rights_policy.md', 'data_protection_policy.md']","['Data Subject Right\tDescription\tTimeframe for Response\tTimeframe for Notification of Decline of Request\nRight of Access\tData subjects have the right to request and receive confirmation of data being processed about them.\tWithin 7 days of receiving a verifiable request.\t-\nRight to Correction\tData subj', 'Data Subject Right\tDescription\tTimeframe for Response\tTimeframe for Notification of Decline of Request\nRight of Access\tData subjects have the right to request and receive confirmation of data being processed about them.\tWithin 7 days of receiving a verifiable request.\t-\nRight to Correction\tData subj', 'Data Subject Right\tDescription\tTimeframe for Response\tTimeframe for Notification of Decline of Request\nRight of Access\tData subjects have the right to request and receive confirmation of data being processed about them.\tWithin 7 days of receiving a verifiable request.\t-\nRight to Correction\tData subj', 'DATA SUBJECT REQUEST\tTimelines \nThe right to be informed\tWhen data is collected (if supplied by data subject) not specified (if not supplied by data subject)\nThe right of access\tOn request but not more than seven days; if not possible a suitable explanation with estimate timelines to be issued  \nThe']",True,0,1.0,11.115,,
8,What is the timeline for data portability requests?,A data portability request should be answered within 30 days of receiving a verifiable request.,"Answer:
The timeline for data portability requests is thirty days from the date of receipt of the request. If the request is declined, a suitable explanation with an estimate of the timelines should be issued within seven days of the decision to decline.

Citations:
- Data Protection Policy - data_protection_policy.md

Relevant Snippets:
- The right to data portability	Thirty days from date of receipt of request.  Where the request is declined, within seven days of the decision to decline (Data Protection Policy - data_protection_policy.md)",data_subject_rights_policy.md,"['data_protection_policy.md', 'data_protection_policy.md', 'data_protection_policy.md', 'data_subject_request_procedures.md']","['DATA SUBJECT REQUEST\tTimelines \nThe right to be informed\tWhen data is collected (if supplied by data subject) not specified (if not supplied by data subject)\nThe right of access\tOn request but not more than seven days; if not possible a suitable explanation with estimate timelines to be issued  \nThe', 'DATA SUBJECT REQUEST\tTimelines \nThe right to be informed\tWhen data is collected (if supplied by data subject) not specified (if not supplied by data subject)\nThe right of access\tOn request but not more than seven days; if not possible a suitable explanation with estimate timelines to be issued  \nThe', 'DATA SUBJECT REQUEST\tTimelines \nThe right to be informed\tWhen data is collected (if supplied by data subject) not specified (if not supplied by data subject)\nThe right of access\tOn request but not more than seven days; if not possible a suitable explanation with estimate timelines to be issued  \nThe', '5.5.7\tRequest for Data Portability\nDefinition:\nA data subject requests the transfer of their personal data to another data controller in a structured, machine-readable format.\nRequired Actions:\n1)\tRequest Record: Log the request in the ""Kenya Aviation Limited Data Subject Rights Request Form"" (acces']",False,0,0.5,8.618,,
9,What categories of cookies does the website use?,"The website uses strictly necessary cookies, analytical or performance cookies, functionality cookies, targeting cookies, and third-party/social media cookies.","Answer:
The website uses strictly necessary cookies and Google Analytics cookies.

Citations:
- Cookie Policy - cookie_policy.md

Relevant Snippets:
- We use the following cookies:
  ● Strictly necessary cookies. These are cookies that are required for the operation of our website. These essential cookies are always enabled because our website will not work properly without them. These include cookies that enable you to log into secure areas of our website, use a shopping cart or make use of e-billing services among other examples. 
  - You can find more information about the individual cookies we use and the purposes for which we use them in the table below:
    Cookie Name
    Purpose 
    Google Analytics	It uses cookies to help analyse how the website is being used. The information generated by the cookie about your use of the website (including your IP address) will be transmitted to and stored by Google;",cookie_policy.md,"['cookie_policy.md', 'cookie_policy.md', 'cookie_policy.md', 'cookie_policy.md']","['We use the following cookies:\n●\tStrictly necessary cookies. These are cookies that are required for the operation of our website. These essential cookies are always enabled because our website will not work properly without them. These include cookies that enable you to log into secure areas of our ', 'We use the following cookies:\n●\tStrictly necessary cookies. These are cookies that are required for the operation of our website. These essential cookies are always enabled because our website will not work properly without them. These include cookies that enable you to log into secure areas of our ', 'We use the following cookies:\n●\tStrictly necessary cookies. These are cookies that are required for the operation of our website. These essential cookies are always enabled because our website will not work properly without them. These include cookies that enable you to log into secure areas of our ', 'You can find more information about the individual cookies we use and the purposes for which we use them in the table below:\nCookie Name\nPurpose \nGoogle Analytics\tIt uses cookies to help analyse how the website is being used. The information generated by the cookie about your use of the website (inc']",True,0,0.5,9.877,,
10,Can personal data be shared informally?,No. Personal data may not be shared informally and access should be formally requested where required.,"Answer:
No, personal data cannot be shared informally.

Citations:
- Data Protection Policy - data_protection_policy.md

Relevant Snippets:
- ""All sharing of personal data shall comply with the information provided to the relevant data subjects and, if required, the consent of such data subjects shall be obtained prior to the sharing of their personal data;"" 
- ""You may only share the Personal Data we hold with another employee, agent or representative of our group (which includes our subsidiaries and our ultimate holding company along with its subsidiaries) if the recipient has a job-related need to know the information and the transfer complies with any applicable cross-border transfer restrictions.""",data_protection_policy.md,"['data_protection_policy.md', 'data_protection_policy.md', 'data_protection_policy.md', 'data_protection_policy.md']","['3.\tAll sharing of personal data shall comply with the information provided to the relevant data subjects and, if required, the consent of such data subjects shall be obtained prior to the sharing of their personal data; \n4.\tAll employees, agents, contractors, or other parties working on behalf of th', '3.\tAll sharing of personal data shall comply with the information provided to the relevant data subjects and, if required, the consent of such data subjects shall be obtained prior to the sharing of their personal data; \n4.\tAll employees, agents, contractors, or other parties working on behalf of th', '3.\tAll sharing of personal data shall comply with the information provided to the relevant data subjects and, if required, the consent of such data subjects shall be obtained prior to the sharing of their personal data; \n4.\tAll employees, agents, contractors, or other parties working on behalf of th', '1.8.2\tSharing Personal Data \nGenerally we are not allowed to share Personal Data with third parties unless certain safeguards and contractual arrangements have been put in place. \nYou may only share the Personal Data we hold with another employee, agent or representative of our group (which includes']",True,0,0.5,10.36,,
